[spider][INFO] [2017-02-23 09:46:14] org.springframework.web.context.ContextLoader.initWebApplicationContext(307) | Root WebApplicationContext: initialization started
[spider][INFO] [2017-02-23 09:46:14] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(574) | Refreshing Root WebApplicationContext: startup date [Thu Feb 23 09:46:14 CST 2017]; root of context hierarchy
[spider][INFO] [2017-02-23 09:46:14] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring.xml]
[spider][INFO] [2017-02-23 09:46:15] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring-mybatis.xml]
[spider][INFO] [2017-02-23 09:46:15] org.springframework.core.io.support.PropertiesLoaderSupport.loadProperties(172) | Loading properties file from class path resource [config.properties]
[spider][INFO] [2017-02-23 09:46:15] com.alibaba.druid.pool.DruidDataSource.init(669) | {dataSource-1} inited
[spider][INFO] [2017-02-23 09:46:16] org.springframework.web.context.ContextLoader.initWebApplicationContext(347) | Root WebApplicationContext: initialization completed in 1869 ms
[spider][INFO] [2017-02-23 09:46:16] org.springframework.web.servlet.FrameworkServlet.initServletBean(488) | FrameworkServlet 'springServlet': initialization started
[spider][INFO] [2017-02-23 09:46:16] org.springframework.context.support.AbstractApplicationContext.prepareRefresh(574) | Refreshing WebApplicationContext for namespace 'springServlet-servlet': startup date [Thu Feb 23 09:46:16 CST 2017]; parent: Root WebApplicationContext
[spider][INFO] [2017-02-23 09:46:16] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions(317) | Loading XML bean definitions from class path resource [spring-mvc.xml]
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/DoubanMovieController/showRateTop/{year}] onto handler 'doubanMovieController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/DoubanMovieController/showRateTop/{year}.*] onto handler 'doubanMovieController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/DoubanMovieController/showRateTop/{year}/] onto handler 'doubanMovieController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/DoubanMovieController/showDirectTop] onto handler 'doubanMovieController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/DoubanMovieController/showDirectTop.*] onto handler 'doubanMovieController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/DoubanMovieController/showDirectTop/] onto handler 'doubanMovieController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/DoubanMovieController/showRatePeopleTop/{year}] onto handler 'doubanMovieController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/DoubanMovieController/showRatePeopleTop/{year}.*] onto handler 'doubanMovieController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/DoubanMovieController/showRatePeopleTop/{year}/] onto handler 'doubanMovieController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/DoubanMovieController/showDirectFilms] onto handler 'doubanMovieController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/DoubanMovieController/showDirectFilms.*] onto handler 'doubanMovieController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/DoubanMovieController/showDirectFilms/] onto handler 'doubanMovieController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/DoubanMovieController/startUpdateDoubanMovieSpider] onto handler 'doubanMovieController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/DoubanMovieController/startUpdateDoubanMovieSpider.*] onto handler 'doubanMovieController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/DoubanMovieController/startUpdateDoubanMovieSpider/] onto handler 'doubanMovieController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/DoubanMovieController/startDoubanBookSpider] onto handler 'doubanMovieController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/DoubanMovieController/startDoubanBookSpider.*] onto handler 'doubanMovieController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/DoubanMovieController/startDoubanBookSpider/] onto handler 'doubanMovieController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/DoubanMovieController/startDoubanMovieSpider] onto handler 'doubanMovieController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/DoubanMovieController/startDoubanMovieSpider.*] onto handler 'doubanMovieController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/DoubanMovieController/startDoubanMovieSpider/] onto handler 'doubanMovieController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/user/showInfo/{userId}] onto handler 'userController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/user/showInfo/{userId}.*] onto handler 'userController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/user/showInfo/{userId}/] onto handler 'userController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/user/showInfos] onto handler 'userController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/user/showInfos.*] onto handler 'userController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/user/showInfos/] onto handler 'userController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/WelcomeController/spider] onto handler 'welcomeController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/WelcomeController/spider.*] onto handler 'welcomeController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/WelcomeController/spider/] onto handler 'welcomeController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/WelcomeController/douban] onto handler 'welcomeController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/WelcomeController/douban.*] onto handler 'welcomeController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/WelcomeController/douban/] onto handler 'welcomeController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/WelcomeController/startSpider] onto handler 'welcomeController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/WelcomeController/startSpider.*] onto handler 'welcomeController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(341) | Mapped URL path [/WelcomeController/startSpider/] onto handler 'welcomeController'
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.handler.AbstractUrlHandlerMapping.registerHandler(328) | Root mapping to handler of type [class org.springframework.web.servlet.mvc.ParameterizableViewController]
[spider][INFO] [2017-02-23 09:46:17] org.springframework.web.servlet.FrameworkServlet.initServletBean(507) | FrameworkServlet 'springServlet': initialization completed in 826 ms
